#{"t_start": 1590537577.010022, "env_id": "eximo-v2"}
r,l,t
-19628,20779,51.242533
-17879,19050,99.508333
-37109,38326,197.104455
-14502,15627,237.781823
-9949,11080,266.477408
-15872,17063,311.035856
-28173,29478,387.651069
-18435,19602,438.98435
-11316,12447,471.73111
-21486,22753,531.349366
-24964,24187,594.448017
-12592,13729,630.424139
-14123,13252,665.113854
-16860,18039,712.403455
-30221,31376,794.312387
-14343,15512,834.953421
-21556,20711,889.277158
-13026,14161,926.300875
-16557,17696,972.75608
-19166,20371,1026.080503
-18816,17963,1073.217679
-25312,24591,1137.572935
-15203,14310,1175.410302
-14700,15815,1216.824696
-17956,19125,1266.976376
-19184,18363,1315.109978
-22914,24145,1378.329252
-18238,19395,1429.117946
-12783,13932,1465.792882
-14336,15491,1506.450886
-20386,21573,1563.059302
-17297,18488,1611.573947
-19387,20558,1665.498676
-18153,19288,1715.806252
-23926,25187,1781.643063
-17524,18661,1830.635323
-20765,19908,1882.721117
-21254,22389,1941.506311
-19025,20210,1994.667806
-21110,22333,2053.046308
-9172,10295,2080.185339
-25631,26768,2150.24287
-25752,26901,2220.598601
-28661,27884,2293.933632
-30230,31475,2376.272137
-10275,11394,2406.183486
-25103,24280,2469.907633
-9650,10785,2497.994823
-15736,14873,2537.187506
-23371,22522,2595.924118
-30728,29915,2673.687351
-12764,13893,2710.236425
-11630,12739,2743.806641
-29076,30299,2823.461609
-15493,16648,2867.268383
-18271,19432,2918.473857
-18151,17270,2963.839642
-35131,36320,3058.944136
-29123,30334,3138.012043
-12404,13497,3173.215124
-24676,25859,3240.406778
-20692,21839,3297.303452
-39726,38967,3398.210711
-17340,16451,3441.101381
-21415,22550,3499.979713
-18185,19352,3550.287555
-30711,29872,3627.954996
-15926,17075,3672.475489
-28338,29541,3749.1462
-15392,16495,3792.228611
-35012,36159,3886.19965
-26674,27845,3958.839845
-22938,24085,4021.62912
-30159,31348,4103.391744
-32541,31824,4185.999414
-24502,25683,4252.620965
-32316,31509,4334.041351
-39743,40964,4440.376359
-38935,38130,4539.82757
-39054,40263,4644.256591
-16217,17328,4689.363088
-28419,27654,4761.373096
-22299,23462,4822.339424
-16399,17502,4867.910768
-19172,20299,4920.539016
-20801,19930,4973.010063
-26650,27789,5045.751324
-25688,26895,5115.913678
-27026,28177,5189.233631
-20557,21684,5245.755099
-30399,31670,5328.100555
-35740,36935,5423.837922
-33359,34520,5513.724312
-31325,32534,5598.190747
-29064,30217,5676.847187
-29008,28183,5750.23628
-27504,26655,5819.147548
-20721,21826,5876.5426
-19402,20527,5930.22413
-24281,25420,5996.555469
-27986,29107,6072.601298
-47328,46529,6193.297021
-32493,33640,6280.387083
-27978,29149,6356.668885
-43296,44483,6472.547515
-26560,27685,6544.686198
-34575,33736,6632.561131
-24321,25470,6698.911902
-34050,35181,6790.774412
-53720,52931,6928.530228
-33861,33044,7014.825392
-44358,45495,7133.06594
-52015,53206,7272.936246
-24347,25486,7339.466424
-34473,33688,7427.280969
-58885,60122,7584.385093
-44758,45939,7704.253827
-47567,46732,7826.488915
-53794,54963,7969.59564
-38199,39326,8071.617866
-38223,37354,8169.531993
-39560,40679,8276.211615
-50997,52194,8412.42078
-60199,59322,8567.03437
-35149,34266,8656.535928
-77695,79012,8861.276562
-75126,76307,9060.404952
-60845,61972,9221.426257
-32880,34001,9310.432294
-50897,52034,9446.395892
-98888,100137,9706.824738
-58607,59778,9862.608714
-99132,98311,10119.401293
-114939,116124,10423.359859
-118401,119600,10733.950289
-71685,72822,10923.742376
-136489,137650,11281.32949
-91401,92520,11522.100485
-85030,84145,11740.998595
-100673,101816,12008.256813
-158965,160164,12428.887537
-111271,112418,12722.098903
-93461,92608,12963.549856
