#{"t_start": 1590432332.947424, "env_id": "eximo-v0"}
r,l,t
-1,35078,36.286215
-1,61994,99.13721
1,27905,127.319941
-1,203348,333.177983
1,31062,363.70254
-1,100017,465.276052
1,41287,509.168602
1,151667,672.260611
-1,54373,730.634497
-1,110668,850.474474
1,56588,911.318723
1,42234,956.445394
1,48531,1008.628818
1,27945,1039.035079
