#{"t_start": 1590686500.853941, "env_id": "eximo-v3"}
r,l,t
-100,1166,1471.421336
-100,4121,1491.830677
100,3905,1513.052622
100,4536,1528.278813
-100,3460,1541.369645
-100,3611,1553.082574
100,5310,1567.479747
100,6007,1583.926304
100,5779,1601.542222
100,3304,1612.313388
100,3104,1623.261322
-100,2203,1630.826016
100,5284,1652.506513
100,3354,1666.523461
-100,3818,1685.826811
100,1730,1694.974005
100,2365,1706.20904
100,3431,1720.409093
-100,2482,1729.121212
-100,2445,1737.030029
-100,4764,1760.236161
-100,3949,1774.802302
100,2423,1784.830065
-100,2712,1797.556902
100,2519,1808.960351
-100,6139,1832.791071
100,3290,1847.382303
100,2906,1856.025314
100,2963,1863.832254
100,5748,1882.375563
100,4125,1898.498883
100,3420,1911.740644
-100,5290,1930.228369
100,2797,1939.77249
100,3526,1951.942976
-100,2964,1960.808559
-100,3434,1969.592226
100,3337,1977.64157
-100,2869,1984.187562
-100,2755,1990.487679
-100,4678,2002.886585
-100,3693,2018.481665
100,1872,2026.316894
100,3200,2040.226326
-100,2167,2049.444922
100,6953,2078.953744
100,4983,2096.614208
100,5166,2116.857627
100,5009,2133.361556
-100,9183,2161.577058
-100,3104,2176.060315
100,3935,2191.813384
100,7079,2222.753742
100,6142,2247.860956
100,3880,2262.680412
-100,6796,2289.031796
100,2858,2299.686969
100,7153,2327.319801
-100,5445,2350.58662
100,6064,2375.660248
-100,5928,2391.210524
100,3675,2399.591442
100,3733,2410.75701
-100,10166,2450.310572
100,5634,2479.324689
-100,8876,2523.939535
100,8789,2561.325726
100,6284,2582.610739
100,3429,2594.714724
-100,2299,2601.329571
100,7169,2622.183762
100,9547,2655.502897
100,14961,2710.138104
100,5817,2733.569942
100,7247,2767.498056
100,9293,2806.260549
-100,5396,2825.118488
100,8567,2856.558288
100,12927,2897.636634
-100,11213,2933.7149
100,11010,2968.758036
100,10655,3010.812464
-100,9407,3050.729724
100,11725,3106.107158
100,12441,3162.652594
-100,18631,3231.649679
-100,15722,3298.997903
-100,28024,3395.857808
100,8442,3427.479842
100,8734,3468.088737
100,19927,3548.687498
-100,17792,3627.967279
100,9257,3663.216155
-100,4834,3679.984143
-100,5994,3705.35919
-100,9103,3738.241152
-100,6804,3766.746926
100,10929,3804.451586
100,9886,3859.885679
