#{"t_start": 1590686500.853941, "env_id": "eximo-v3"}
r,l,t
-100,1127,6.655587
-100,3044,19.948947
100,1967,28.75057
100,1914,37.288478
100,443,38.971946
100,2079,48.702149
100,1471,52.824368
100,2463,59.260721
-100,3836,70.980676
100,1283,75.316051
-100,649,76.970357
100,1880,81.714431
100,2288,89.271081
100,1171,94.099615
100,2211,100.892163
100,1532,106.675297
-100,2087,112.787835
-100,1972,118.30865
100,1217,122.214785
-100,2957,133.84012
-100,2959,144.270689
100,1861,150.072773
100,900,152.65572
-100,2221,159.358073
-100,3825,174.704653
100,934,177.969115
100,2221,185.476005
-100,2066,193.68796
100,906,196.202729
100,1316,199.837702
100,2647,207.202245
-100,1460,212.556239
100,1352,216.700364
100,1713,222.247196
-100,1292,226.622048
-100,1428,231.362338
-100,1606,236.854124
100,3162,251.026176
100,481,253.565535
100,3455,267.189556
100,1127,270.531372
-100,1653,276.646549
100,3964,289.294417
100,1746,294.297405
100,2160,302.032693
100,1968,309.120725
100,2158,316.840367
100,1115,320.929795
-100,3111,334.472363
100,2209,342.329228
-100,1311,346.215654
-100,3375,356.108757
100,1712,361.291516
100,1714,366.347494
100,1826,373.116614
100,1621,378.964081
-100,1728,384.244615
100,3112,393.884669
100,1702,399.060384
-100,2088,406.468093
-100,2845,417.081459
100,1088,421.585984
100,1213,425.752413
-100,1874,434.137471
100,2492,442.404086
-100,1606,448.875729
-100,2833,460.57215
100,1008,464.313152
100,1937,471.927201
-100,1414,477.120663
-100,1290,481.15661
100,3214,495.354103
-100,2488,505.910977
100,1604,516.174783
100,1788,523.522918
100,758,526.786758
100,1893,536.491363
-100,1896,548.102002
-100,2444,562.44638
-100,1114,568.422893
100,1500,578.203528
-100,2794,588.23916
100,4303,603.010804
-100,3729,617.924535
100,2092,628.015275
100,2864,644.735894
-100,1177,651.64089
100,3357,666.645293
100,773,669.384588
-100,1695,675.779559
100,2210,682.774948
-100,1118,686.304752
-100,1209,691.447134
100,1178,695.772676
-100,2252,705.025586
-100,2140,715.450824
100,1248,721.147187
-100,1581,730.84256
-100,1578,737.320407
-100,2540,747.876971
100,3348,758.016447
-100,2108,764.336427
100,2057,771.185179
100,1190,776.790233
100,3691,796.864929
100,1204,801.648388
-100,2890,818.235322
100,3380,835.262424
100,2026,844.837953
100,2586,856.014737
100,2579,871.077726
100,3496,889.194101
100,3086,899.98055
-100,2725,912.72103
100,4170,926.16244
100,575,928.185309
-100,753,930.758056
100,4873,949.692034
100,2400,958.75484
100,2799,966.936366
100,2624,979.349096
100,775,982.400671
100,2000,990.917159
100,2337,1001.138246
-100,2154,1013.264429
100,1671,1019.268772
-100,2213,1025.87166
100,2422,1036.849664
100,1661,1041.848496
100,4496,1062.073104
100,3421,1077.5209
-100,2140,1088.725854
-100,3608,1103.380043
-100,2553,1115.136099
100,2057,1122.771192
-100,3155,1136.378436
100,1649,1144.647511
100,1378,1150.077233
100,2753,1159.839736
100,3561,1169.434335
100,1709,1173.886441
100,3898,1184.003642
100,2149,1189.468397
-100,2030,1194.598379
100,2879,1201.955159
100,866,1204.155097
100,1347,1207.554205
100,2663,1215.438088
100,1688,1223.410686
100,2022,1230.341985
100,5484,1245.713844
-100,1703,1251.031105
-100,2603,1258.209901
100,2032,1263.397793
100,2818,1274.567522
100,2670,1285.371829
100,3218,1293.063133
100,2619,1303.171732
100,2477,1312.348686
-100,4852,1335.912416
100,4870,1357.329965
100,2185,1368.639488
100,4241,1389.844561
100,1284,1396.411617
-100,3372,1408.851079
-100,1884,1415.080801
100,2115,1421.766677
100,2877,1438.838773
-100,3694,1453.593973
-100,2566,1464.119622
