#{"t_start": 1590690965.229365, "env_id": "eximo-v4"}
r,l,t
-1644,1668,3.47823
-1169,1213,6.055502
-1682,1716,9.680034
-1910,1930,13.810336
-808,842,15.616483
-1791,1823,19.684877
-878,900,21.526334
-2477,2495,26.624102
-1190,1224,29.127408
-1537,1569,32.326185
-1302,1338,35.082753
-1550,1590,38.368741
-2979,3067,44.717831
-2004,2042,48.981902
-2848,2908,55.057629
-1364,1402,57.970926
-2748,2788,63.834296
-576,600,65.107454
-1763,1803,68.884405
-1179,1211,71.489392
-1440,1468,74.610302
-1328,1358,77.461008
-1142,1182,80.033545
-2583,2637,86.079358
-2429,2497,91.671923
-3160,3216,98.877905
-2272,2310,103.752599
-2794,2838,109.803653
-3055,3111,116.51157
-2967,3017,123.7326
-767,787,125.546393
-1196,1232,128.696508
-1288,1314,131.821817
-3202,3260,139.422956
-1439,1463,142.713017
-2476,2522,148.186066
-1146,1190,150.850037
-1418,1446,154.086581
-2149,2191,158.877741
-3132,3208,165.876517
-3332,3384,173.524111
-1349,1371,176.73175
-1912,1944,181.162711
-1918,1950,185.595176
-3927,4023,194.508453
-936,972,196.73516
-1646,1672,200.556316
-2171,2219,205.530089
-1205,1237,208.497088
-1761,1797,212.571838
-2402,2438,218.090682
-1641,1681,221.919469
-2424,2470,227.443079
-1874,1924,231.764352
-2554,2616,237.300276
-990,1024,239.569989
-3983,4045,248.238575
-2519,2575,253.794856
-633,661,255.322945
-3860,3900,263.662595
-1258,1298,266.555438
-1511,1545,269.96666
-874,904,272.044871
-1186,1224,274.750767
-1527,1555,278.184945
-2470,2516,283.67199
-3024,3066,290.344745
-1309,1337,293.314246
-2781,2835,299.533354
-715,747,301.262268
-2185,2221,306.719656
-2643,2679,312.676425
-3269,3329,319.85547
-2184,2226,324.737093
-835,865,326.626209
-4035,4073,335.363509
-2523,2543,340.962875
-3489,3539,348.64596
-1276,1306,351.528438
-1510,1532,354.897098
-1117,1147,357.412869
-3031,3067,364.190415
-1603,1625,367.797774
-1176,1204,370.444828
-2629,2661,376.269218
-2009,2037,380.775985
-1115,1147,383.330573
-1315,1345,386.268912
-1967,2001,390.654514
-2385,2413,395.97774
-3084,3144,402.83874
-1984,2032,407.293343
-1072,1096,409.694757
-3695,3731,417.790083
-3934,3972,426.431105
-3757,3799,434.716592
-1842,1860,438.767302
-1134,1156,441.350926
-941,969,443.464252
-3310,3348,450.820036
-3331,3395,458.218693
-2557,2591,463.849331
-1687,1713,467.667569
-2639,2673,473.495573
-1202,1228,476.203298
-4045,4111,485.240791
-1197,1219,488.139649
-2695,2739,494.361361
-3496,3534,502.311069
-2828,2858,508.791834
-1537,1575,512.459046
-2447,2479,518.095739
-2577,2621,523.965037
-2196,2252,529.043961
-1534,1562,532.577145
-1656,1684,536.387545
-2810,2838,542.709611
-1107,1137,545.226252
-1300,1340,548.304645
-1351,1379,551.369006
-2724,2764,557.440258
-786,804,559.228174
-1182,1212,561.900395
-2586,2630,567.686933
-1930,1968,572.046237
-1837,1871,576.1625
-4218,4272,586.483546
-2326,2368,592.036413
-1373,1407,595.32021
-2762,2796,602.041674
-745,771,603.920459
-2380,2422,609.630073
-1913,1947,614.360198
-3233,3269,622.493116
-2137,2179,627.686414
-2686,2736,634.471156
-3358,3404,642.358219
-1148,1182,645.191038
-2040,2080,650.13785
-1524,1552,654.004434
-8502,8608,675.046748
-1650,1676,678.966369
-2520,2550,684.634694
-5099,5171,695.697116
-3159,3197,702.778391
-1839,1885,707.272967
-3223,3257,714.936311
-2435,2469,720.722917
-3878,3942,730.759075
-4304,4370,741.230115
-3351,3393,748.689164
-1163,1191,751.353824
-2897,2933,757.866234
-1585,1619,761.639649
-2829,2873,768.384812
-1820,1854,772.574895
-3712,3782,780.78356
-3437,3463,788.33199
-1222,1258,791.044654
-2888,2944,797.379396
-2453,2487,802.936951
-3340,3396,810.600033
-3640,3678,819.219162
-2184,2212,824.49367
-1167,1191,827.177007
-2847,2869,833.677196
-3808,3876,842.166509
-3824,3882,850.584668
-2943,2969,856.953333
-3227,3253,863.923991
-3590,3628,871.729792
-5183,5219,883.013793
-1324,1344,885.970935
-1545,1563,889.340577
-3168,3200,896.684031
-2798,2832,903.146301
-2232,2264,908.368374
-4716,4782,919.397907
-2083,2119,924.348123
-4572,4602,934.376461
-5087,5133,945.525704
-2092,2126,950.149875
-4832,4878,960.876048
-2173,2213,966.006429
-3240,3266,973.924606
-6308,6352,989.485616
-3572,3606,998.141961
-2590,2624,1004.220589
-5713,5771,1017.416046
-3830,3874,1026.829994
-4850,4908,1038.060018
-2709,2739,1044.439873
-5041,5103,1056.034669
-3165,3193,1063.618389
-6157,6195,1078.096967
-5582,5624,1091.165853
-2339,2377,1096.362187
-3653,3693,1104.966258
-2907,2929,1111.579011
-4942,4990,1122.990367
-2950,2992,1130.054825
-11791,11893,1156.674095
-4340,4394,1166.208028
-2952,2986,1172.714313
-4990,5030,1183.634405
-4332,4380,1193.341277
-2089,2111,1197.995093
-6180,6202,1212.559382
-4575,4631,1223.119168
-3592,3626,1231.778482
-5162,5212,1243.782203
-4232,4266,1253.603551
-2925,2951,1260.406584
-4525,4565,1271.58065
-5009,5037,1283.961907
-1805,1839,1288.62307
-5543,5573,1301.895631
-3288,3322,1309.27742
-4775,4809,1320.593385
-3761,3789,1329.184163
-4282,4314,1338.76606
-2453,2471,1344.314115
-13842,13930,1375.235734
-2816,2852,1381.52897
-5431,5469,1393.547057
-2878,2912,1399.96435
-3934,3968,1408.732413
-5561,5599,1421.051743
-1692,1716,1424.868334
-9051,9109,1445.08088
-8813,8849,1464.566504
-4443,4481,1474.521439
-7320,7364,1490.868784
-7421,7465,1507.321188
-6515,6547,1521.774031
-3191,3215,1528.892704
-11679,11743,1554.835023
-8605,8643,1573.929023
-5045,5087,1584.531612
-1922,1944,1588.663632
-16571,16631,1626.573949
-8079,8109,1645.249139
-9297,9367,1665.591668
-9881,9929,1687.135074
-7833,7897,1704.001075
-3043,3069,1710.587554
-11420,11460,1735.195832
-7405,7449,1751.214243
-8584,8626,1769.778628
-7133,7173,1785.152398
-8457,8483,1803.413103
-10328,10366,1826.458244
-13161,13203,1856.050677
-7774,7802,1873.299554
-15525,15569,1907.515401
-6775,6807,1922.729281
-8034,8076,1940.496102
-14927,14997,1973.302779
-18847,18885,2014.799113
-8826,8860,2035.308159
-8417,8453,2053.939517
-7959,7991,2071.456538
-11313,11353,2096.432465
-9446,9488,2117.128379
-12344,12390,2145.061006
-10661,10703,2168.337769
-12668,12706,2196.280487
-13266,13286,2225.62953
