#{"t_start": 1590693252.6446416, "env_id": "eximo-v4"}
r,l,t
-1081,1111,2.174454
-816,850,3.8707
-2484,2508,8.92324
-783,809,10.570948
-2192,2230,15.314939
-1283,1303,18.256421
-1693,1743,22.00275
-1610,1654,25.566192
-1865,1907,29.710251
-1827,1847,33.740382
-1000,1038,35.923031
-2180,2216,40.781845
-1404,1444,43.830126
-2174,2214,48.430486
-1178,1208,51.002813
-1896,1934,55.107896
-1370,1392,58.045069
-2785,2833,63.967916
-1188,1228,66.551277
-1375,1409,69.534959
-1714,1752,73.214585
-1149,1175,75.707016
-2065,2095,80.176093
-4872,4944,90.613203
-427,461,91.599771
-1672,1702,95.221946
-2267,2303,100.146565
-566,588,101.386644
-1199,1223,104.023083
-2894,2972,110.33817
-2895,2927,116.588731
-1246,1284,119.321229
-937,973,121.400371
-1670,1696,125.010395
-2848,2920,131.194436
-2108,2146,135.831074
-3261,3307,143.419932
-1558,1606,147.018303
-2466,2514,152.598012
-2115,2143,157.320433
-1127,1159,159.879831
-1303,1343,162.833016
-1443,1481,166.085684
-1366,1414,169.183876
-1722,1770,173.019927
-1188,1222,175.709606
-1435,1467,178.887466
-1563,1601,182.375473
-764,798,184.135718
-748,776,185.834243
-2035,2067,190.363986
-1366,1404,193.213733
-3256,3322,200.078772
-1678,1712,203.663717
-1211,1233,206.270879
-1504,1536,209.499563
-1237,1267,212.168131
-2147,2179,216.792398
-3145,3205,223.593812
-2962,3038,230.01983
-2522,2554,235.491447
-1025,1055,237.748713
-1435,1473,240.892846
-1128,1156,243.369827
-2008,2056,247.69371
-1825,1865,251.67771
-1153,1179,254.200513
-1882,1916,258.231672
-4634,4720,268.211567
-3008,3054,274.720094
-3390,3446,282.123951
-1193,1221,284.740693
-2531,2573,290.216876
-1484,1532,293.505805
-1893,1923,297.659111
-1225,1257,300.345356
-1321,1349,303.230257
-3912,3968,311.728062
-3624,3656,319.488447
-2706,2774,325.41803
-1733,1761,329.181751
-2494,2526,334.536664
-1326,1352,337.415084
-812,850,339.237822
-803,831,340.995869
-970,1008,343.154778
-2849,2879,349.365842
-758,794,351.094857
-1884,1930,355.197795
-1622,1648,358.719178
-1942,1984,362.969547
-3981,4057,371.724192
-2054,2082,376.211263
-1137,1165,378.708814
-2461,2517,384.058941
-1644,1686,387.602271
-2544,2584,393.091084
-1415,1445,396.172558
-2968,3052,402.685136
-1688,1716,406.450892
-3069,3131,413.145988
-1374,1430,416.200634
-3117,3179,422.917772
-3524,3610,430.59858
-1162,1190,433.163333
-491,513,434.282518
-481,505,435.372147
-1524,1554,438.705945
-2208,2248,443.491281
-3600,3646,451.27456
-1611,1659,454.858042
-2416,2448,460.095854
-2395,2427,465.285876
-1323,1349,468.183782
-1317,1347,471.095329
-2003,2039,475.466733
-1766,1806,479.300984
-2139,2189,483.976871
-1319,1343,486.870362
-1916,1952,491.141515
-1684,1712,494.793397
-2793,2869,500.905243
-2623,2695,506.659997
-1696,1760,510.407244
-1062,1098,512.746716
-2523,2565,518.235483
-2224,2270,523.07421
-3812,3848,531.311142
-4822,4874,541.773728
-3861,3935,550.172956
-2412,2446,555.421718
-1239,1265,558.206769
-2075,2115,562.977493
-1666,1698,566.548696
-3046,3106,573.124434
-1762,1798,576.990269
-1789,1819,580.896135
