#{"t_start": 1590693252.6446416, "env_id": "eximo-v4"}
r,l,t
-2567,2599,586.407492
-2284,2318,591.323397
-4429,4473,600.891498
-1166,1196,603.462487
-4308,4368,612.808486
-1976,2018,617.278485
-1949,1989,621.746903
-2179,2217,626.686479
-3894,3954,635.446294
-2284,2326,640.606653
-2519,2571,646.238825
-1012,1036,648.515158
-2901,2931,654.939113
-1939,1975,659.291464
-2852,2896,665.643964
-1379,1409,668.750977
-1194,1232,671.440348
-2064,2112,676.028657
-1680,1702,679.782692
-1487,1515,683.091522
-2154,2186,687.87481
-6149,6257,701.394992
-1373,1403,704.44028
-1538,1584,707.888803
-1510,1546,711.240322
-3928,4000,719.881655
-2953,2999,726.385094
-960,996,728.579854
-1690,1724,732.327118
-2171,2209,737.249795
-1493,1529,740.577513
-1569,1601,743.866965
-1343,1369,746.709333
-2397,2441,751.769361
-2241,2277,756.548205
-3554,3628,764.145926
-1261,1299,766.867039
-1814,1840,770.760428
-2050,2086,775.135093
-2948,2978,781.409427
-1559,1591,784.779564
-1870,1904,788.839836
-2534,2580,794.297526
-2610,2644,799.90599
-1140,1176,802.387561
-1791,1829,806.278186
-3317,3359,813.471356
-2264,2298,818.396657
-2001,2043,822.748693
-1541,1577,826.110616
-4663,4739,836.143292
-719,743,837.749424
-4743,4791,847.872785
-2963,2997,854.205226
-1823,1867,858.192505
-1172,1196,860.758714
-2439,2485,865.996751
-2012,2042,870.328755
-2941,2999,876.680168
-1246,1280,879.391481
-4539,4607,889.106393
-2163,2195,893.74177
-2349,2381,898.780951
-2226,2268,903.614944
-4805,4875,913.961866
-1471,1497,917.19313
-2890,2942,923.447717
-1331,1355,926.313808
-3293,3345,933.421461
-2172,2232,938.145055
-3172,3202,944.944923
-2178,2208,949.672896
-2453,2479,954.938319
-3070,3118,961.580625
-2713,2755,967.398198
-1062,1086,969.686395
-1701,1731,973.364836
-2415,2457,978.582735
-3503,3545,986.12299
-1246,1272,988.901279
-1958,1984,993.120336
-3144,3178,999.8987
-2459,2511,1005.214839
-917,947,1007.264689
-3307,3331,1014.379625
-1639,1683,1017.940936
-2092,2130,1022.438439
-1815,1851,1026.354698
-4251,4311,1035.458604
-4385,4425,1044.879105
-3252,3288,1051.82682
-4451,4509,1061.324082
-2853,2893,1067.43928
-3254,3300,1074.425278
-1851,1883,1078.358731
-1391,1419,1081.341725
-2930,2964,1087.551399
-2051,2089,1092.004202
-4121,4155,1100.774833
-1557,1593,1104.148044
-1985,2015,1108.426228
-1074,1104,1110.785898
-2081,2107,1115.269044
-3952,3998,1123.752486
-1664,1704,1127.384142
-2394,2426,1132.534621
-2532,2598,1138.054922
-5117,5151,1149.011258
-1449,1487,1152.124876
-3082,3128,1158.732796
-1300,1336,1161.555977
-4740,4836,1171.775465
-2469,2499,1177.119478
-4408,4454,1186.597042
-2119,2147,1191.188804
-3025,3057,1197.665848
-1826,1866,1201.608476
-2304,2340,1206.527333
-3112,3142,1213.200779
-4223,4265,1222.254477
-1079,1103,1224.581445
-3096,3142,1231.246943
-3047,3073,1237.751361
-5263,5347,1249.050015
-1716,1734,1252.730692
-2071,2107,1257.190163
-792,814,1258.95536
-2026,2060,1263.31846
-3051,3087,1269.810347
-3290,3350,1276.830796
-2877,2895,1282.959599
-3358,3416,1290.14393
-3279,3307,1297.103745
-3892,3920,1305.455288
-3915,3957,1313.849563
-2681,2713,1319.607497
-2171,2203,1324.300768
-1982,2012,1328.547096
-4387,4471,1337.997338
-5501,5573,1350.026927
-1098,1126,1352.39956
-4198,4256,1361.341579
-2098,2128,1365.864816
-6107,6177,1379.532937
-1344,1376,1382.564297
-2248,2292,1387.565084
-2153,2193,1392.345349
-1825,1859,1396.408307
-2482,2530,1401.896337
-951,991,1404.043898
-2129,2169,1408.761512
-2594,2636,1414.53932
-1803,1827,1418.570931
-1786,1822,1422.526732
-1370,1404,1425.610487
-2404,2430,1430.929121
-3694,3758,1439.105397
-2886,2924,1445.414119
-2359,2389,1450.558532
-1409,1435,1453.685444
-3948,4012,1462.42605
-3364,3404,1469.821054
-4706,4764,1480.129105
-4013,4073,1488.904136
-4427,4473,1498.61822
-2748,2794,1504.658755
-2860,2892,1510.950376
-2440,2476,1516.321136
-2727,2775,1522.300378
-7131,7181,1537.952964
-2268,2308,1542.988189
-1051,1081,1545.325095
-3461,3497,1552.858583
-4972,5018,1563.69851
-1710,1732,1567.447657
-3178,3222,1574.43906
-2165,2213,1579.226078
-5943,5973,1592.156645
-2055,2097,1596.717012
-4223,4283,1606.00419
-5596,5632,1618.096134
-5017,5059,1628.902115
-2994,3028,1635.453323
-2703,2735,1641.445684
-2146,2198,1646.18568
-2208,2244,1650.976259
-1929,1961,1655.147803
-2441,2471,1660.423275
-5047,5089,1670.822628
-3827,3861,1678.867949
-2378,2402,1683.899378
-1859,1887,1687.835734
-4208,4256,1696.775921
-4124,4158,1705.508544
-2924,2950,1711.699416
-1888,1920,1715.746998
-5317,5369,1726.955261
-4078,4140,1735.632044
-2204,2240,1740.35007
-3306,3364,1747.394212
-3040,3072,1753.907804
-1592,1624,1757.344858
-3330,3350,1764.413155
-2974,3004,1770.73636
-2037,2061,1775.064764
-1049,1073,1777.318074
-2457,2491,1782.626761
-5537,5579,1794.292309
-4793,4831,1804.490292
-2282,2314,1809.305238
-3866,3920,1817.539841
-3846,3884,1825.751727
-3272,3306,1832.88327
-1510,1542,1836.268388
-6127,6167,1849.772103
-4552,4622,1859.870135
-4284,4330,1869.224029
-4666,4712,1879.457835
-2251,2275,1884.469666
-2768,2802,1890.559139
-1998,2032,1894.978106
-1838,1866,1899.022173
-3175,3193,1906.05812
-4554,4604,1916.056835
-3650,3678,1924.045322
-3813,3845,1932.385033
-1834,1866,1936.438423
-1865,1895,1940.826145
-6622,6650,1955.433408
-2922,2960,1961.835478
-2926,2948,1968.20171
-3349,3391,1975.498199
-2931,2963,1981.976742
-3516,3544,1989.587141
-6058,6118,2002.610396
-4786,4818,2012.955766
-2284,2310,2017.889244
-4948,4980,2028.614358
-3699,3747,2036.652884
-2278,2304,2041.605013
-3849,3883,2050.039114
-5067,5101,2060.916393
-1561,1589,2064.320159
-3794,3826,2072.614941
-5047,5091,2083.734393
-4658,4704,2093.907845
-2030,2064,2098.336399
-2402,2442,2103.594488
-3243,3277,2110.592548
-843,869,2112.471024
-3253,3289,2119.470663
-3401,3439,2126.851372
-5834,5892,2138.942382
