#{"t_start": 1590679780.7038643, "env_id": "eximo-v3"}
r,l,t
100,1544,3.750536
-100,2388,7.354498
-100,1228,9.224456
100,1203,11.23369
-100,3050,15.840524
-100,2395,20.0153
100,1956,23.180824
100,2594,28.667297
100,858,32.080863
100,2376,38.39602
100,3362,44.203317
-100,725,45.453584
100,1861,49.563797
100,6754,63.508356
100,8551,78.616795
100,3578,83.240196
-100,9323,97.959526
-100,16849,137.793708
100,5747,149.891508
-100,4819,158.216671
-100,4288,167.080803
-100,13905,196.842381
100,4586,203.287159
100,4595,211.212615
-100,4058,217.860323
100,5085,224.810886
100,8411,237.112489
-100,4703,244.207364
-100,6506,253.778646
100,12389,271.165448
-100,7614,281.956715
100,1448,284.546848
100,2472,288.088674
-100,5759,296.778568
100,19962,326.478669
-100,29071,374.060996
100,14483,398.775177
100,31395,453.308862
100,11771,472.241218
-100,6022,480.47671
100,2691,484.451857
-100,8532,500.29207
-100,11920,519.224919
100,9743,531.028163
100,16060,550.241181
100,21081,575.157209
-100,5135,581.279501
100,24573,622.144102
100,3296,626.947938
-100,9974,640.284358
-100,18571,665.996297
-100,34028,714.034497
100,6161,723.704472
-100,35387,783.746654
-100,15214,808.031798
100,12885,830.511338
100,30120,892.675934
100,24457,933.857127
100,10689,952.848767
100,43361,1019.340465
100,9430,1032.793349
100,3669,1037.871238
100,7333,1050.083991
100,16292,1075.713327
100,11259,1092.452162
-100,1226,1094.103513
-100,4562,1100.984364
100,3931,1106.37219
100,4799,1113.027768
100,5354,1121.689638
100,4083,1127.41754
-100,5827,1136.812318
-100,7998,1149.80324
100,13742,1172.105289
-100,10359,1189.91536
100,3037,1195.699027
-100,4488,1203.556678
100,5087,1212.263728
100,7143,1226.049685
100,2641,1231.044482
-100,14390,1260.89102
100,5754,1270.481594
100,1598,1273.269235
-100,4294,1280.722392
100,4017,1286.852172
100,8149,1301.062845
-100,2478,1305.34596
100,1967,1308.569689
-100,14561,1332.954556
100,4953,1341.763851
-100,11564,1360.958578
100,2279,1364.659429
-100,14866,1389.390518
-100,4770,1396.889096
-100,18383,1428.438504
100,5858,1437.914538
100,1500,1440.28856
100,4430,1447.392463
100,3295,1452.646791
-100,10487,1470.372933
-100,7032,1481.783599
-100,6363,1492.224951
100,4255,1499.836845
-100,9306,1514.744805
-100,3908,1520.916488
100,3873,1527.300377
-100,12555,1547.221552
-100,7400,1559.643089
-100,6183,1569.499448
100,3627,1577.093992
100,7929,1594.021494
100,3704,1601.630476
100,5350,1613.191667
-100,3883,1620.526941
100,2104,1624.685754
100,7286,1640.895126
100,6476,1655.146081
