Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
2,4,subtraction,50,11.138781785964966,164206,25574,0

1,1,num_pieces,30,0.011330127716064453,774,1,1
2,4,num_pieces,28,16.147984504699707,149932,36903,0

1,1,num_pieces,44,0.01572275161743164,1195,2,1
2,4,side,42,12.091471672058105,199331,23208,0

1,1,num_pieces,23,0.00712895393371582,415,3,1
2,4,center,21,11.326321840286255,292644,18602,0

1,1,side,22,0.010365962982177734,454,3,1
2,4,subtraction,20,4.011815071105957,51379,9007,0

1,1,side,19,0.00819087028503418,323,3,1
2,4,num_pieces,17,5.9868786334991455,67921,14369,0

1,1,side,24,0.014452695846557617,606,3,1
2,4,side,22,10.996666669845581,211356,17830,0

1,1,side,27,0.017376422882080078,717,3,1
2,4,center,25,6.585397720336914,147279,11680,0

1,1,center,113,0.18451571464538574,7328,1,1
2,4,subtraction,111,45.21247386932373,489520,77051,0

1,1,center,19,0.010984659194946289,437,1,1
2,4,num_pieces,17,4.911566972732544,61405,10243,0

1,1,center,59,0.07729125022888184,3248,1,1
2,4,side,57,19.26846671104431,379511,22483,0

1,1,center,25,0.015761852264404297,641,2,1
2,4,center,23,11.769658088684082,267622,18665,0

1,2,subtraction,19,0.15677618980407715,890,342,0
2,1,subtraction,19,0.007528781890869141,358,0,1

1,2,subtraction,19,0.15602421760559082,868,338,0
2,1,num_pieces,19,0.007270336151123047,307,0,1

1,2,subtraction,20,0.12608861923217773,909,284,0
2,1,side,20,0.010552644729614258,417,0,1

1,2,subtraction,22,0.18691301345825195,939,390,0
2,1,center,22,0.013168096542358398,428,0,1

1,2,num_pieces,36,0.5872106552124023,2428,1273,0
2,1,subtraction,36,0.016760826110839844,958,0,1

1,2,num_pieces,36,0.5861876010894775,2428,1273,0
2,1,num_pieces,36,0.016598224639892578,958,0,1

1,2,num_pieces,35,0.3089590072631836,1483,731,0
2,1,side,35,0.01827406883239746,751,0,1

1,2,num_pieces,31,0.64980149269104,2170,1225,0
2,1,center,31,0.021330833435058594,940,0,1

1,2,side,28,0.24770116806030273,3663,452,0
2,1,subtraction,28,0.012288093566894531,721,0,1

1,2,side,21,0.19105982780456543,1225,379,0
2,1,num_pieces,21,0.008271932601928711,321,0,1

1,2,side,32,0.22442388534545898,1650,461,0
2,1,side,32,0.01918959617614746,822,0,1

1,2,side,22,0.2032616138458252,1703,389,0
2,1,center,22,0.01285099983215332,396,0,1

1,2,center,58,0.9689960479736328,11452,3134,0
2,1,subtraction,58,0.018161773681640625,1736,0,1

1,2,center,52,1.149752140045166,11221,2070,0
2,1,num_pieces,52,0.01914525032043457,1815,0,1

1,2,center,29,0.19043493270874023,2405,426,0
2,1,side,29,0.011282682418823242,409,0,1

1,2,center,30,0.5059692859649658,5986,1377,1
2,1,center,29,0.012301206588745117,506,0,0

1,2,subtraction,44,0.26729774475097656,2690,1800,1
2,2,subtraction,43,0.25279903411865234,3058,663,0

1,2,subtraction,23,0.16839218139648438,1160,358,0
2,2,num_pieces,23,0.10160589218139648,973,625,1

1,2,subtraction,47,0.3004941940307617,3100,1975,1
2,2,side,46,0.4485480785369873,7677,871,0

1,2,subtraction,40,0.342329740524292,4587,3881,1
2,2,center,39,0.44910335540771484,14554,545,0

1,2,num_pieces,35,0.251192569732666,2063,1183,1
2,2,subtraction,34,0.3261098861694336,2770,819,0

1,2,num_pieces,1000,10.854148864746094,81323,32801,1
2,2,num_pieces,1000,6.89060640335083,80284,44476,1

1,2,num_pieces,46,0.2985646724700928,2378,1342,1
2,2,side,45,0.4059560298919678,5530,933,0

1,2,num_pieces,32,0.18746328353881836,1712,1158,1
2,2,center,31,0.37932634353637695,13197,509,0

1,2,side,30,0.27887749671936035,6020,1443,1
2,2,subtraction,29,0.19453644752502441,2489,410,0

1,2,side,31,0.24713706970214844,3368,490,0
2,2,num_pieces,31,0.1661982536315918,1977,1459,1

